"district_name","ITN_Type","max_effect","min_effect","median_effect","mean_effect","max_percent","min_percent","median_percent","mean_percent"
"Kween District","ITN4",2.15,1.09,1.18,1.36,53.51,8.3,15.18,26.22
"Kyankwanzi District","ITN2",1.92,1.68,1.83,1.81,47.81,40.4,45.42,44.73
"Kyankwanzi District","ITN3",1.15,1.08,1.17,1.16,13,4.88,10.3,9.54
"Kyankwanzi District","ITN4",1.42,1.15,1.32,1.3,29.43,13.26,24.48,23
"Kyegegwa District","ITN2",1.66,1.14,1.45,1.41,39.67,11.9,31.02,28.93
"Kyegegwa District","ITN3",1.46,0.99,1.21,1.18,31.67,-8.79,19.73,16.76
"Kyegegwa District","ITN4",1.93,0.96,1.55,1.47,48.3,-4.39,35.33,31.8
"Kyenjojo District","ITN2",1.37,1.09,1.27,1.25,26.97,8.26,21,20.03
"Kyenjojo District","ITN3",1.15,0.98,1.14,1.12,12.94,-5.14,7.07,6.12
"Kyenjojo District","ITN4",1.48,0.96,1.29,1.26,32.65,-4.15,22.55,20.78
"Kyotera District","ITN2",1.24,0.97,1.17,1.13,19.25,-3.21,14.32,11.28
"Kyotera District","ITN3",1.44,1.01,1.16,1.13,30.65,8.89,26.01,23.11
"Kyotera District","ITN4",1.75,1.03,1.56,1.45,42.81,3.19,35.86,31.17
"Lamwo District","ITN2",1.97,1.43,1.76,1.75,49.23,30.1,43.09,42.7
"Lamwo District","ITN3",1.14,0.85,1.05,1.05,12.28,-6.78,5.72,5.32
"Lamwo District","ITN4",1.29,0.75,1.08,1.07,22.51,-32.76,7.51,6.48
"Lira District","ITN2",3.52,1.49,2.08,2.38,71.61,32.89,51.97,57.98
"Lira District","ITN3",1.27,0.83,0.91,0.95,21.5,-14.47,-0.14,5.51
"Lira District","ITN4",1.2,0.58,0.77,0.87,16.98,-73.14,-29.2,-15.23
"Luuka District","ITN2",1.13,1,1.08,1.06,11.33,-0.24,7.13,5.84
"Luuka District","ITN3",1.08,1.02,1.1,1.09,7.62,-9.79,1.47,-0.46
"Luuka District","ITN4",1.39,1,1.23,1.19,27.88,-0.27,19,15.99
"Luwero District","ITN2",1.41,1.03,1.18,1.2,28.91,2.87,15.08,16.45
"Luwero District","ITN3",1.07,0.75,0.86,0.87,6.62,-15.24,-5.46,-4.31
"Luwero District","ITN4",1.06,0.59,0.77,0.8,5.34,-70.02,-29.65,-25.72
"Lwengo District","ITN2",1.33,1.01,1.26,1.22,24.96,1.24,20.93,18.28
"Lwengo District","ITN3",1.37,1.02,1.21,1.18,27.02,5.46,23.36,20.95
"Lwengo District","ITN4",1.8,1.05,1.64,1.55,44.42,5.13,39.09,35.33
"Lyantonde District","ITN2",1.34,0.97,1.15,1.18,25.53,-2.99,13.28,15.56
"Lyantonde District","ITN3",1.61,1.01,1.05,1.06,37.83,10.95,26.59,28.72
"Lyantonde District","ITN4",2.05,1.16,1.6,1.67,51.3,13.92,37.45,40.24
"Madi-Okollo District","ITN2",1.1,0.91,1.05,1.03,9.31,-10.04,4.46,2.8
"Madi-Okollo District","ITN3",1.11,1.3,1.6,1.56,9.67,-6.78,5.56,4.15
"Madi-Okollo District","ITN4",3.57,2.04,3.13,2.99,71.97,50.98,68.05,66.54
"Manafwa District","ITN2",1.19,1.04,1.09,1.1,16.02,4.01,8.49,9.35
"Manafwa District","ITN3",1.19,1.21,1.32,1.34,16.04,3.15,7.99,8.91
"Manafwa District","ITN4",1.88,1.35,1.53,1.56,46.67,25.72,34.54,36.08
"Maracha District","ITN2",1.13,0.82,1.03,1.01,11.58,-22.68,2.68,0.66
"Maracha District","ITN3",1.13,1.12,1.76,1.69,11.48,-21.46,2.96,1.02
"Maracha District","ITN4",4.85,1.47,3.73,3.5,79.39,31.79,73.2,71.45
"Masaka District","ITN2",1.74,1.09,1.28,1.31,42.4,8.27,22.14,23.37
"Masaka District","ITN3",1.8,1.09,1.22,1.24,44.45,6.1,22.2,23.6
"Masaka District","ITN4",3.47,1.4,2.02,2.08,71.18,28.37,50.41,51.99
"Masindi District","ITN2",1.22,0.98,1.16,1.13,18.29,-2.28,13.44,11.77
"Masindi District","ITN3",1.49,0.86,1.12,1.09,32.98,10.31,27.9,26.12
"Masindi District","ITN4",1.36,0.75,1.19,1.13,26.36,-33.56,15.73,11.67
"Mbale District","ITN2",1.36,1.1,1.18,1.21,26.63,8.9,15.01,17.35
"Mbale District","ITN3",1.17,1.05,1.11,1.13,14.82,-0.87,4.41,6.47
"Mbale District","ITN4",1.76,1.17,1.34,1.42,43.03,14.54,25.63,29.49
"Mbarara District","ITN2",1.46,1.02,1.19,1.2,31.64,2.05,16.17,16.96
"Mbarara District","ITN3",1.45,0.95,1.07,1.08,30.92,4.65,16.84,17.54
"Mbarara District","ITN4",1.56,0.89,1.15,1.17,36.08,-12.63,12.87,14.17
"Mitooma District","ITN2",1.44,1.03,1.16,1.17,30.67,2.61,13.88,14.63
"Mitooma District","ITN3",1.35,0.99,1.1,1.11,26.13,-6.95,6.5,7.39
