"district","campaign","distribution_start","distribution_end","distribution_date","coverage","mean_date","month_count","parent","location_id","latitude","longitude","level","path_to_top_parent","authority","emonc","emonc_unsupported_and_cross_cutting","facility_level","operational_status","ownership","region_name","district_name","subcounty_name"
"Buliisa District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"yx0ieyZNF0l","CQTmrrriwOq",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,CQTmrrriwOq",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Buliisa District",NA
"Hoima District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"yx0ieyZNF0l","PJFtfCyp6Rb",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,PJFtfCyp6Rb",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Hoima District",NA
"Kikuube District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"yx0ieyZNF0l","L5WBetpBpY3",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,L5WBetpBpY3",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kikuube District",NA
"Kagadi District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"yx0ieyZNF0l","orgY0d5MJa9",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,orgY0d5MJa9",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kagadi District",NA
"Mubende District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"Dl9WvtvDs5V","lzWuB6bCQeV",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,lzWuB6bCQeV",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mubende District",NA
"Sembabule District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"IEU0FjDAhBP","j7AQsnEYmvi",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,j7AQsnEYmvi",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Sembabule District",NA
"Kitagwenda District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"JZhJ50nOirX","qKmESX5Owwr",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,qKmESX5Owwr",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kitagwenda District",NA
"Mityana District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"Dl9WvtvDs5V","Q7PaNIbyZII",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,Q7PaNIbyZII",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mityana District",NA
"Hoima City District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Masindi District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"yx0ieyZNF0l","xr8EMirOASp",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,xr8EMirOASp",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Masindi District",NA
"Nakasongola District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"Dl9WvtvDs5V","aUcYGQCK9ub",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,aUcYGQCK9ub",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Nakasongola District",NA
"Kiryandongo District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"yx0ieyZNF0l","B0G9cqixld8",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,B0G9cqixld8",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kiryandongo District",NA
"Apac District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"DWPnYhoqza0","JyZJhGXKeEq",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,JyZJhGXKeEq",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Apac District",NA
"Kwania District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"DWPnYhoqza0","gCN6sU5BjlR",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Kwania District",NA
"Kole District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"DWPnYhoqza0","Y4LV8xqkv6J",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,Y4LV8xqkv6J",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Kole District",NA
"Oyam District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"DWPnYhoqza0","xpIFdCMhVHG",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Oyam District",NA
"Omoro District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"SUvODYOcaVf","S5fvUXgY54J",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,S5fvUXgY54J",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Omoro District",NA
"Gulu City District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gulu District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"SUvODYOcaVf","Gwk4wkLz7EW",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,Gwk4wkLz7EW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Gulu District",NA
"Lamwo District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"SUvODYOcaVf","xy0M4HhjXtD",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,xy0M4HhjXtD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Lamwo District",NA
"Kitgum District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"SUvODYOcaVf","pnTVIF5v27r",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,pnTVIF5v27r",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Kitgum District",NA
"Agago District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"SUvODYOcaVf","ztIyIYAzFKp",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Agago District",NA
"Pader District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"SUvODYOcaVf","aBrjuZk0W31",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Pader District",NA
"Kapelebyong District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"r0GhWtmPHDj","mvN9LBbpf7X",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,mvN9LBbpf7X",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kapelebyong District",NA
"Amuria District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"r0GhWtmPHDj","TM6ccNxawqy",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,TM6ccNxawqy",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Amuria District",NA
"Katakwi District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"r0GhWtmPHDj","cSrCFjPKqcG",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,cSrCFjPKqcG",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Katakwi District",NA
"Ngora District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"r0GhWtmPHDj","aj4hsYK3dVm",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,aj4hsYK3dVm",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Ngora District",NA
"Kumi District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"r0GhWtmPHDj","saT18HClZoz",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,saT18HClZoz",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kumi District",NA
"Manafwa District","2023_2023",NA,NA,"2023-11","",2023-11-01,106,"Dt6qdenPX1E","JIZDvNlIhXS",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,JIZDvNlIhXS",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Manafwa District",NA
"Kassanda District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"Dl9WvtvDs5V","Pvl4FVXO0RD",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,Pvl4FVXO0RD",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Kassanda District",NA
"Gomba District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"IEU0FjDAhBP","lQj3yMM1lI7",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,lQj3yMM1lI7",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Gomba District",NA
"Butambala District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"IEU0FjDAhBP","a3LMKP8z8Xj",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,a3LMKP8z8Xj",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Butambala District",NA
"Wakiso District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"IEU0FjDAhBP","aIahLLmtvgT",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Wakiso District",NA
"Mukono District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"Dl9WvtvDs5V","a0DfYpC2Rwl",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,a0DfYpC2Rwl",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Mukono District",NA
"Kampala District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"GIpyzaSuEgM","aXmBzv61LbM",NA,NA,3,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM",NA,NA,"Unsupported Districts",NA,NA,NA,"Kampala","Kampala District",NA
"Buikwe District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"Dl9WvtvDs5V","x75Yh65MaUa",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,x75Yh65MaUa",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Buikwe District",NA
"Kayunga District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"Dl9WvtvDs5V","ykxQEnZGXkj",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,ykxQEnZGXkj",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Kayunga District",NA
"Buvuma District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"Dl9WvtvDs5V","aZLZPPjqft0",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,aZLZPPjqft0",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Buvuma District",NA
"Karenga District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","Hmh5JQLls1d",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,Hmh5JQLls1d",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Karenga District",NA
"Kaabong District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","eOJUW6OGpc7",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,eOJUW6OGpc7",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Kaabong District",NA
"Kotido District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","aPZzL4CyBTg",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,aPZzL4CyBTg",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Kotido District",NA
"Abim District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","NREoMszwQZW",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,NREoMszwQZW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Abim District",NA
"Napak District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","EDhGji3EteB",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,EDhGji3EteB",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Napak District",NA
"Moroto District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","A9kRCvmn6Co",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,A9kRCvmn6Co",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Moroto District",NA
"Nabilatuk District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","mOXva2xiwQv",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,mOXva2xiwQv",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Nabilatuk District",NA
"Nakapiripirit District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","VuHCApXcMTm",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,VuHCApXcMTm",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Nakapiripirit District",NA
"Amudat District","2023_2023",NA,NA,"2023-12","",2023-12-01,107,"jdlbNUwJiKX","a8RHFdF4DXL",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,a8RHFdF4DXL",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Amudat District",NA
"Kapelebyong District","2013_2014",NA,NA,"2013-10","0.92",2013-10-01,-15,"r0GhWtmPHDj","mvN9LBbpf7X",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,mvN9LBbpf7X",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kapelebyong District",NA
"Kwania District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"DWPnYhoqza0","gCN6sU5BjlR",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Kwania District",NA
"Madi-Okollo District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"BD3XaQ7cQAp","bLoH4VbxCGI",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,bLoH4VbxCGI",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Madi-Okollo District",NA
"Terego District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"BD3XaQ7cQAp","bJgx6UjvyoP",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,bJgx6UjvyoP",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Terego District",NA
"Omoro District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"SUvODYOcaVf","S5fvUXgY54J",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,S5fvUXgY54J",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Omoro District",NA
"Kikuube District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"yx0ieyZNF0l","L5WBetpBpY3",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,L5WBetpBpY3",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kikuube District",NA
"Bugweri District","2013_2014",NA,NA,"2013-11","0.9",2013-11-01,-14,"Wd1lV9Qdj4o","AIonX4LaJeU",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,AIonX4LaJeU",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Bugweri District",NA
"Karenga District","2013_2014",NA,NA,"2014-06","0.87",2014-06-01,-7,"jdlbNUwJiKX","Hmh5JQLls1d",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,Hmh5JQLls1d",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Karenga District",NA
"Kagadi District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"yx0ieyZNF0l","orgY0d5MJa9",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,orgY0d5MJa9",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kagadi District",NA
"Kakumiro District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"yx0ieyZNF0l","Lnewt3iIJaK",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,Lnewt3iIJaK",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Kakumiro District",NA
"Rubanda District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"G0rlphd2tcD","wZrfAgC3WrU",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,wZrfAgC3WrU",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rubanda District",NA
"Rukiga District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"G0rlphd2tcD","fsP0Wxie1UW",NA,NA,3,"akV6429SUqu,G0rlphd2tcD,fsP0Wxie1UW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Kigezi","Rukiga District",NA
"Bunyangabu District","2013_2014",NA,NA,"2014-01","0.9",2014-01-01,-12,"JZhJ50nOirX","iTfbtn6JUsN",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,iTfbtn6JUsN",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Bunyangabu District",NA
"Kalaki District","2013_2014",NA,NA,"2013-09","0.9",2013-09-01,-16,"r0GhWtmPHDj","KOnkIf4N6jA",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,KOnkIf4N6jA",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Kalaki District",NA
"Kitagwenda District","2013_2014",NA,NA,"2014-01","0.9",2014-01-01,-12,"JZhJ50nOirX","qKmESX5Owwr",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,qKmESX5Owwr",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Kitagwenda District",NA
"Kazo District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"F1o6qBSx783","AS2Seq1grGE",NA,NA,3,"akV6429SUqu,F1o6qBSx783,AS2Seq1grGE",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Kazo District",NA
"Namisindwa District","2013_2014",NA,NA,"2013-10","0.91",2013-10-01,-15,"Dt6qdenPX1E","TGzZPOmbgn8",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,TGzZPOmbgn8",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Namisindwa District",NA
"Rwampara District","2013_2014",NA,NA,"2014-01","0.9",2014-01-01,-12,"F1o6qBSx783","tsugXWRXwGu",NA,NA,3,"akV6429SUqu,F1o6qBSx783,tsugXWRXwGu",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Rwampara District",NA
"Obongi District","2013_2014",NA,NA,"2014-06","0.91",2014-06-01,-7,"BD3XaQ7cQAp","uTMUclQ5bi6",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,uTMUclQ5bi6",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Obongi District",NA
"Kassanda District","2013_2014",NA,NA,"2013-12","0.88",2013-12-01,-13,"Dl9WvtvDs5V","Pvl4FVXO0RD",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,Pvl4FVXO0RD",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Kassanda District",NA
"Nabilatuk District","2013_2014",NA,NA,"2013-10","0.86",2013-10-01,-15,"jdlbNUwJiKX","mOXva2xiwQv",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,mOXva2xiwQv",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Nabilatuk District",NA
"Pakwach District","2013_2014",NA,NA,"2014-06","0.91",2014-06-01,-7,"BD3XaQ7cQAp","uqUyTPvQKII",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,uqUyTPvQKII",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Pakwach District",NA
"Butebo District","2013_2014",NA,NA,"2013-10","0.91",2013-10-01,-15,"QBPg7KKCeoA","FDPqRvcW3NN",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,FDPqRvcW3NN",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Butebo District",NA
"Kyotera District","2013_2014",NA,NA,"2013-12","0.9",2013-12-01,-13,"IEU0FjDAhBP","REJuxCmTwXG",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Kyotera District",NA
"Abim District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"jdlbNUwJiKX","NREoMszwQZW",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,NREoMszwQZW",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Karamoja","Abim District",NA
"Adjumani District","2013_2014",NA,NA,"2014-06","1.07",2014-06-01,-7,"BD3XaQ7cQAp","QYiQ2KqgCxj",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,QYiQ2KqgCxj",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Adjumani District",NA
"Agago District","2013_2014",NA,NA,"2014-06","0.88",2014-06-01,-7,"SUvODYOcaVf","ztIyIYAzFKp",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Agago District",NA
"Alebtong District","2013_2014",NA,NA,"2014-06","1.19",2014-06-01,-7,"DWPnYhoqza0","p7EEgDEX3jT",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Alebtong District",NA
"Amolatar District","2013_2014",NA,NA,"2014-06","0.81",2014-06-01,-7,"DWPnYhoqza0","ZuQHWOaFQVM",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,ZuQHWOaFQVM",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Amolatar District",NA
"Amudat District","2013_2014",NA,NA,"2013-10","0.81",2013-10-01,-15,"jdlbNUwJiKX","a8RHFdF4DXL",NA,NA,3,"akV6429SUqu,jdlbNUwJiKX,a8RHFdF4DXL",NA,NA,"Unsupported Districts",NA,NA,NA,"Karamoja","Amudat District",NA
"Amuria District","2013_2014",NA,NA,"2013-10","0.92",2013-10-01,-15,"r0GhWtmPHDj","TM6ccNxawqy",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,TM6ccNxawqy",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Amuria District",NA
"Amuru District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"SUvODYOcaVf","C0RSe3EWBqU",NA,NA,3,"akV6429SUqu,SUvODYOcaVf,C0RSe3EWBqU",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Acholi","Amuru District",NA
"Apac District","2013_2014",NA,NA,"2014-06","0.9",2014-06-01,-7,"DWPnYhoqza0","JyZJhGXKeEq",NA,NA,3,"akV6429SUqu,DWPnYhoqza0,JyZJhGXKeEq",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Lango","Apac District",NA
"Arua District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"BD3XaQ7cQAp","WcB3kLlgRTb",NA,NA,3,"akV6429SUqu,BD3XaQ7cQAp,WcB3kLlgRTb",NA,"UNICEF Covered Districts","Unsupported Districts",NA,NA,NA,"West Nile","Arua District",NA
"Budaka District","2013_2014",NA,NA,"2013-11","0.91",2013-11-01,-14,"QBPg7KKCeoA","kb7iUQISRlx",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Budaka District",NA
"Bududa District","2013_2014",NA,NA,"2013-10","0.88",2013-10-01,-15,"Dt6qdenPX1E","AhwgeZQYj16",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,AhwgeZQYj16",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Bududa District",NA
"Bugiri District","2013_2014",NA,NA,"2012-09","0.64",2012-09-01,-28,"Wd1lV9Qdj4o","gUaoj8Geuao",NA,NA,3,"akV6429SUqu,Wd1lV9Qdj4o,gUaoj8Geuao",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Busoga","Bugiri District",NA
"Buhweju District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"F1o6qBSx783","sWoNWQZ9qrD",NA,NA,3,"akV6429SUqu,F1o6qBSx783,sWoNWQZ9qrD",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Buhweju District",NA
"Buikwe District","2013_2014",NA,NA,"2013-11","0.9",2013-11-01,-14,"Dl9WvtvDs5V","x75Yh65MaUa",NA,NA,3,"akV6429SUqu,Dl9WvtvDs5V,x75Yh65MaUa",NA,NA,"Unsupported Districts",NA,NA,NA,"North Central","Buikwe District",NA
"Bukedea District","2013_2014",NA,NA,"2013-09","0.98",2013-09-01,-16,"r0GhWtmPHDj","tdZbtg9sZkO",NA,NA,3,"akV6429SUqu,r0GhWtmPHDj,tdZbtg9sZkO",NA,NA,"Unsupported Districts",NA,NA,NA,"Teso","Bukedea District",NA
"Bukomansimbi District","2013_2014",NA,NA,"2013-12","0.9",2013-12-01,-13,"IEU0FjDAhBP","Ame30QOwuX6",NA,NA,3,"akV6429SUqu,IEU0FjDAhBP,Ame30QOwuX6",NA,NA,"Unsupported Districts",NA,NA,NA,"South Central","Bukomansimbi District",NA
"Bukwo District","2013_2014",NA,NA,"2013-09","0.89",2013-09-01,-16,"Dt6qdenPX1E","e8m9ZYMRoeR",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,e8m9ZYMRoeR",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Bukwo District",NA
"Bulambuli District","2013_2014",NA,NA,"2013-09","0.9",2013-09-01,-16,"Dt6qdenPX1E","auLatLbcOxf",NA,NA,3,"akV6429SUqu,Dt6qdenPX1E,auLatLbcOxf",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bugisu","Bulambuli District",NA
"Buliisa District","2013_2014",NA,NA,"2014-06","0.89",2014-06-01,-7,"yx0ieyZNF0l","CQTmrrriwOq",NA,NA,3,"akV6429SUqu,yx0ieyZNF0l,CQTmrrriwOq",NA,NA,"Unsupported Districts",NA,NA,NA,"Bunyoro","Buliisa District",NA
"Bundibugyo District","2013_2014",NA,NA,"2014-01","0.9",2014-01-01,-12,"JZhJ50nOirX","g8M1cWRJZV6",NA,NA,3,"akV6429SUqu,JZhJ50nOirX,g8M1cWRJZV6",NA,NA,"Unsupported Districts",NA,NA,NA,"Tooro","Bundibugyo District",NA
"Bushenyi District","2013_2014",NA,NA,"2014-01","0.89",2014-01-01,-12,"F1o6qBSx783","It5UGwdHAPF",NA,NA,3,"akV6429SUqu,F1o6qBSx783,It5UGwdHAPF",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Ankole","Bushenyi District",NA
"Busia District","2013_2014",NA,NA,"2013-05","0.89",2013-05-01,-20,"QBPg7KKCeoA","lkuO79O6mRx",NA,NA,3,"akV6429SUqu,QBPg7KKCeoA,lkuO79O6mRx",NA,"UHA Covered Districts","Unsupported Districts",NA,NA,NA,"Bukedi","Busia District",NA
