"location","spray_start","spray_end","formulation","year","household_coverage","population_coverage","funder","source","source_2","spray_date","month_count","location_id","region_name","path_to_top_parent","form_short","district"
"Kibuku District",2019-03-18,2019-04-15,"Actellic",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-04",51,"Oyxwe3iDqpR","Bukedi","akV6429SUqu,QBPg7KKCeoA,Oyxwe3iDqpR","actellic","Kibuku District"
"Namutumba District",2019-03-18,2019-04-15,"Actellic",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-04",51,"esIUe2tQAtL","Busoga","akV6429SUqu,Wd1lV9Qdj4o,esIUe2tQAtL","actellic","Namutumba District"
"Pallisa District",2019-03-18,2019-04-15,"Actellic",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-04",51,"WiVj4bEhX4P","Bukedi","akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P","actellic","Pallisa District"
"Tororo District",2019-03-18,2019-04-15,"Actellic",2019,92.1,NA,"PMI","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2019-04",51,"KhT80mlwJ3Y","Bukedi","akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y","actellic","Tororo District"
"Alebtong District",2019-05-27,2019-06-27,"Actellic",2019,95,NA,"DFID/FCDO","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2019-06",53,"p7EEgDEX3jT","Lango","akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT","actellic","Alebtong District"
"Amolatar District",2019-05-27,2019-06-27,"Actellic",2019,94.2,NA,"DFID/FCDO","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2019-06",53,"ZuQHWOaFQVM","Lango","akV6429SUqu,DWPnYhoqza0,ZuQHWOaFQVM","actellic","Amolatar District"
"Dokolo District",2019-05-27,2019-06-27,"Sumishield",2019,95.2,NA,"DFID/FCDO","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2019-06",53,"wMQ25dybdgH","Lango","akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH","ff","Dokolo District"
"Kaberamaido District",2019-05-27,2019-06-27,"Actellic",2019,NA,NA,"DFID/FCDO","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-06",53,"QoRZB7xc3j9","Teso","akV6429SUqu,r0GhWtmPHDj,QoRZB7xc3j9","actellic","Kaberamaido District"
"Lira District",2019-05-27,2019-06-27,"Sumishield",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-06",53,"Lj8t70RYnEt","Lango","akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt","ff","Lira District"
"Otuke District",2019-05-27,2019-06-27,"Actellic",2019,98.8,NA,"DFID/FCDO","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2019-06",53,"aXjub1BYn1y","Lango","akV6429SUqu,DWPnYhoqza0,aXjub1BYn1y","actellic","Otuke District"
"Serere District",2019-05-27,2019-06-27,"Actellic",2019,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00WQTX.pdf","","2019-06",53,"zJfpujxC1kD","Teso","akV6429SUqu,r0GhWtmPHDj,zJfpujxC1kD","actellic","Serere District"
"Budaka District",2017-10-01,2017-11-01,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-10",33,"kb7iUQISRlx","Bukedi","akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx","actellic","Budaka District"
"Bugiri District",2017-04-01,2017-07-01,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-05",28,"gUaoj8Geuao","Busoga","akV6429SUqu,Wd1lV9Qdj4o,gUaoj8Geuao","actellic","Bugiri District"
"Dokolo District",2017-05-02,2017-06-06,"Actellic",2017,97.6,NA,"","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2017-05",28,"wMQ25dybdgH","Lango","akV6429SUqu,DWPnYhoqza0,wMQ25dybdgH","actellic","Dokolo District"
"Gulu District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"Gwk4wkLz7EW","Acholi","akV6429SUqu,SUvODYOcaVf,Gwk4wkLz7EW","actellic","Gulu District"
"Kaberamaido",2017-04-01,2017-07-01,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-05",28,NA,NA,NA,"actellic","Kaberamaido"
"Kibuku District",2017-04-01,2017-07-01,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-05",28,"Oyxwe3iDqpR","Bukedi","akV6429SUqu,QBPg7KKCeoA,Oyxwe3iDqpR","actellic","Kibuku District"
"Kitgum District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"pnTVIF5v27r","Acholi","akV6429SUqu,SUvODYOcaVf,pnTVIF5v27r","actellic","Kitgum District"
"Kole District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"Y4LV8xqkv6J","Lango","akV6429SUqu,DWPnYhoqza0,Y4LV8xqkv6J","actellic","Kole District"
"Kwania District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"gCN6sU5BjlR","Lango","akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR","actellic","Kwania District"
"Lamwo District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"xy0M4HhjXtD","Acholi","akV6429SUqu,SUvODYOcaVf,xy0M4HhjXtD","actellic","Lamwo District"
"Lira District",2017-04-01,2017-07-01,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-05",28,"Lj8t70RYnEt","Lango","akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt","actellic","Lira District"
"Omoro District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"S5fvUXgY54J","Acholi","akV6429SUqu,SUvODYOcaVf,S5fvUXgY54J","actellic","Omoro District"
